SIGLA UF,NOME MUNICÍPIO,DEPENDÊNCIA ADMINISTRATIVA,CARGO OU FUNÇÃO DO CURSISTA,FORMAÇÃO,SITUAÇÃO ATUAL
PB,CAMPINA GRANDE,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
SP,MONTE AZUL PAULISTA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
MS,CORUMBÁ,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
CE,FORTALEZA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
BA,ALAGOINHAS,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
AL,SÃO MIGUEL DOS CAMPOS,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
PR,CURITIBA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
MA,BACABAL,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
GO,SANTO ANTONIO DO DESCOBERTO,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,MESTRADO,MATRICULADO
RN,GOIANINHA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
PB,MONTEIRO,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,MATRICULADO
AM,TEFÉ,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,ESPECIALIZAÇÃO,DESISTENTE
AM,COARI,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
RJ,MACAÉ,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
ES,GUARAPARI,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
PR,ARAUCÁRIA,MUNICIPAL,DIRETOR(A),ESPECIALIZAÇÃO,MATRICULADO
PE,IGARASSU,MUNICIPAL,DIRETOR(A),ENSINO SUPERIOR,MATRICULADO
PE,OLINDA,MUNICIPAL,TÉCNICO DA SECRETARIA DE EDUCAÇÃO,MESTRADO,DESISTENTE
